industry_code,industry_name,uqer_indic_id,uqer_name,name_en,frequency,unit,stat_type,region,country,source,api,begin_date,end_date,is_update,selection_score
801010,农林牧渔,2010711979,价格:仔猪:外三元(15kg),Price: Piglet: Foreign Mixed Breed (15kg),日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-09-28,2026-08-07,1,150.0
801010,农林牧渔,2010712032,价格:仔猪:外三元(20kg),Price: Piglet: Foreign Mixed Breed (20kg),日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010711926,价格:生猪:外三元,Price: Pig: Foreign Mixed Breed,日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010000983,农产品批发价格200指数,Wholesale Price Index of Agricultural Products,日,2015年=100,定基,全国,中国,中国农业农村部,getEcoDataIndAgricultural,2015-01-19,2026-08-07,1,150.0
801010,农林牧渔,2010000984,农产品批发价格200指数:菜篮子,Wholesale Price Index of Agricultural Products 200: Vegetable Basket,日,2015年=100,定基,全国,中国,中国农业农村部,getEcoDataIndAgricultural,2015-01-19,2026-08-07,1,150.0
801010,农林牧渔,2010723605,收盘价:大商所:农产品期货价格指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723606,收盘价:大商所:农产品期货价格综合指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Composite Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723608,收盘价:大商所:大豆类期货价格指数,Closing Price: Dalian Commodity Exchange: Soybean Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723617,收盘价:大商所:玉米期货主力合约价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Main Contract Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723610,收盘价:大商所:玉米期货价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723625,收盘价:大商所:玉米淀粉加工利润指数,Closing Price: Dalian Commodity Exchange: Corn Starch Processing Profit Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2014-12-19,2026-08-07,1,150.0
801010,农林牧渔,2010723618,收盘价:大商所:玉米淀粉期货主力合约价格指数,Closing Price: Dalian Commodity Exchange: Corn Starch Futures Main Contract Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2014-12-19,2026-08-07,1,150.0
801010,农林牧渔,2010723611,收盘价:大商所:玉米淀粉期货价格指数,Closing Price: Dalian Commodity Exchange: Corn Starch Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2014-12-19,2026-08-07,1,150.0
801010,农林牧渔,2010723620,收盘价:大商所:豆粕期货主力合约价格指数,Closing Price: Dalian Commodity Exchange: Soybean Meal Main Contract Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723613,收盘价:大商所:豆粕期货价格指数,Closing Price: Dalian Commodity Exchange: Soybean Meal Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
801010,农林牧渔,2010723609,收盘价:大商所:饲料类期货价格指数,Closing Price: Dalian Commodity Exchange: Feed Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0
