industry_code,industry_name,industry_rank,uqer_indic_id,uqer_name,name_en,frequency_old_list,unit_old_list,stat_type,region_old_list,country_old_list,source,api,begin_date,end_date,is_update,selection_score,indicID,indicName,nameEN,dyCD,parentID,isList,frequency_new_uqer,unit_new_uqer,statType,accuracy,region_new_uqer,country_new_uqer,currency,importance,infoSource,memoCN,dataApiID,dataApiName,beginDate,endDate,isUpdate,__source_api,__downloaded_at_utc,old_uqer_name,new_uqer_name,changed_uqer_name,old_name_en,new_name_en,changed_name_en,old_frequency,new_frequency,changed_frequency,old_unit,new_unit,changed_unit,old_stat_type,new_stat_type,changed_stat_type,old_region,new_region,changed_region,old_country,new_country,changed_country,old_source,new_source,changed_source,old_api,new_api,changed_api,old_begin_date,new_begin_date,changed_begin_date,old_end_date,new_end_date,changed_end_date,old_is_update,new_is_update,changed_is_update,exists_in_new_uqer,any_field_changed,snapshot_20260812_uqer_name,snapshot_20260812_name_en,snapshot_20260812_frequency,snapshot_20260812_unit,snapshot_20260812_stat_type,snapshot_20260812_region,snapshot_20260812_country,snapshot_20260812_source,snapshot_20260812_api,snapshot_20260812_begin_date,snapshot_20260812_end_date,snapshot_20260812_is_update,changed_since_20260812_uqer_name,changed_since_20260812_name_en,changed_since_20260812_frequency,changed_since_20260812_unit,changed_since_20260812_stat_type,changed_since_20260812_region,changed_since_20260812_country,changed_since_20260812_source,changed_since_20260812_api,changed_since_20260812_begin_date,changed_since_20260812_end_date,changed_since_20260812_is_update,any_change_since_20260812
801010,农林牧渔,1,2010711979,价格:仔猪:外三元(15kg),Price: Piglet: Foreign Mixed Breed (15kg),日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-09-28,2026-08-07,1,150.0,2010711979,价格:仔猪:外三元(15kg),Price: Piglet: Foreign Mixed Breed (15kg),S010711979,S010001661,0,日,元/公斤,当期值,2.0,全国,中国,人民币元,不重要,博亚和讯,,2976,getEcoDataIndAgricultural,2016-09-28,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,价格:仔猪:外三元(15kg),价格:仔猪:外三元(15kg),False,Price: Piglet: Foreign Mixed Breed (15kg),Price: Piglet: Foreign Mixed Breed (15kg),False,日,日,False,元/公斤,元/公斤,False,当期值,当期值,False,全国,全国,False,中国,中国,False,博亚和讯,博亚和讯,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2016-09-28,2016-09-28,False,2026-08-07,2026-08-12,True,1,1,False,True,True,价格:仔猪:外三元(15kg),Price: Piglet: Foreign Mixed Breed (15kg),日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-09-28,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,2,2010712032,价格:仔猪:外三元(20kg),Price: Piglet: Foreign Mixed Breed (20kg),日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-07,1,150.0,2010712032,价格:仔猪:外三元(20kg),Price: Piglet: Foreign Mixed Breed (20kg),S010712032,S010001661,0,日,元/公斤,当期值,2.0,全国,中国,人民币元,不重要,博亚和讯,,2976,getEcoDataIndAgricultural,2016-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,价格:仔猪:外三元(20kg),价格:仔猪:外三元(20kg),False,Price: Piglet: Foreign Mixed Breed (20kg),Price: Piglet: Foreign Mixed Breed (20kg),False,日,日,False,元/公斤,元/公斤,False,当期值,当期值,False,全国,全国,False,中国,中国,False,博亚和讯,博亚和讯,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2016-01-04,2016-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,价格:仔猪:外三元(20kg),Price: Piglet: Foreign Mixed Breed (20kg),日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,3,2010711926,价格:生猪:外三元,Price: Pig: Foreign Mixed Breed,日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-07,1,150.0,2010711926,价格:生猪:外三元,Price: Pig: Foreign Mixed Breed,S010711926,S010001661,0,日,元/公斤,当期值,2.0,全国,中国,人民币元,不重要,博亚和讯,,2976,getEcoDataIndAgricultural,2016-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,价格:生猪:外三元,价格:生猪:外三元,False,Price: Pig: Foreign Mixed Breed,Price: Pig: Foreign Mixed Breed,False,日,日,False,元/公斤,元/公斤,False,当期值,当期值,False,全国,全国,False,中国,中国,False,博亚和讯,博亚和讯,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2016-01-04,2016-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,价格:生猪:外三元,Price: Pig: Foreign Mixed Breed,日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,4,2010000983,农产品批发价格200指数,Wholesale Price Index of Agricultural Products,日,2015年=100,定基,全国,中国,中国农业农村部,getEcoDataIndAgricultural,2015-01-19,2026-08-07,1,150.0,2010000983,农产品批发价格200指数,Wholesale Price Index of Agricultural Products,S010000983,S010000982,0,日,2015年=100,定基,2.0,全国,中国,,一般重要,中国农业农村部,,2976,getEcoDataIndAgricultural,2015-01-19,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,农产品批发价格200指数,农产品批发价格200指数,False,Wholesale Price Index of Agricultural Products,Wholesale Price Index of Agricultural Products,False,日,日,False,2015年=100,2015年=100,False,定基,定基,False,全国,全国,False,中国,中国,False,中国农业农村部,中国农业农村部,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2015-01-19,2015-01-19,False,2026-08-07,2026-08-12,True,1,1,False,True,True,农产品批发价格200指数,Wholesale Price Index of Agricultural Products,日,2015年=100,定基,全国,中国,中国农业农村部,getEcoDataIndAgricultural,2015-01-19,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,5,2010000984,农产品批发价格200指数:菜篮子,Wholesale Price Index of Agricultural Products 200: Vegetable Basket,日,2015年=100,定基,全国,中国,中国农业农村部,getEcoDataIndAgricultural,2015-01-19,2026-08-07,1,150.0,2010000984,农产品批发价格200指数:菜篮子,Wholesale Price Index of Agricultural Products 200: Vegetable Basket,S010000984,S010000982,0,日,2015年=100,定基,2.0,全国,中国,,一般重要,中国农业农村部,,2976,getEcoDataIndAgricultural,2015-01-19,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,农产品批发价格200指数:菜篮子,农产品批发价格200指数:菜篮子,False,Wholesale Price Index of Agricultural Products 200: Vegetable Basket,Wholesale Price Index of Agricultural Products 200: Vegetable Basket,False,日,日,False,2015年=100,2015年=100,False,定基,定基,False,全国,全国,False,中国,中国,False,中国农业农村部,中国农业农村部,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2015-01-19,2015-01-19,False,2026-08-07,2026-08-12,True,1,1,False,True,True,农产品批发价格200指数:菜篮子,Wholesale Price Index of Agricultural Products 200: Vegetable Basket,日,2015年=100,定基,全国,中国,中国农业农村部,getEcoDataIndAgricultural,2015-01-19,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,6,2010723605,收盘价:大商所:农产品期货价格指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0,2010723605,收盘价:大商所:农产品期货价格指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Index,S010723605,S010723558,0,日,点,当期值,2.0,全国,中国,,不重要,大连商品交易所,,2976,getEcoDataIndAgricultural,2013-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,收盘价:大商所:农产品期货价格指数,收盘价:大商所:农产品期货价格指数,False,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Index,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Index,False,日,日,False,点,点,False,当期值,当期值,False,全国,全国,False,中国,中国,False,大连商品交易所,大连商品交易所,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2013-01-04,2013-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,收盘价:大商所:农产品期货价格指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,7,2010723606,收盘价:大商所:农产品期货价格综合指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Composite Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0,2010723606,收盘价:大商所:农产品期货价格综合指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Composite Index,S010723606,S010723558,0,日,点,当期值,2.0,全国,中国,,不重要,大连商品交易所,,2976,getEcoDataIndAgricultural,2013-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,收盘价:大商所:农产品期货价格综合指数,收盘价:大商所:农产品期货价格综合指数,False,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Composite Index,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Composite Index,False,日,日,False,点,点,False,当期值,当期值,False,全国,全国,False,中国,中国,False,大连商品交易所,大连商品交易所,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2013-01-04,2013-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,收盘价:大商所:农产品期货价格综合指数,Closing Price: Dalian Commodity Exchange: Agricultural Futures Price Composite Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,8,2010723608,收盘价:大商所:大豆类期货价格指数,Closing Price: Dalian Commodity Exchange: Soybean Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0,2010723608,收盘价:大商所:大豆类期货价格指数,Closing Price: Dalian Commodity Exchange: Soybean Futures Price Index,S010723608,S010723558,0,日,点,当期值,2.0,全国,中国,,不重要,大连商品交易所,,2976,getEcoDataIndAgricultural,2013-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,收盘价:大商所:大豆类期货价格指数,收盘价:大商所:大豆类期货价格指数,False,Closing Price: Dalian Commodity Exchange: Soybean Futures Price Index,Closing Price: Dalian Commodity Exchange: Soybean Futures Price Index,False,日,日,False,点,点,False,当期值,当期值,False,全国,全国,False,中国,中国,False,大连商品交易所,大连商品交易所,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2013-01-04,2013-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,收盘价:大商所:大豆类期货价格指数,Closing Price: Dalian Commodity Exchange: Soybean Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,9,2010723617,收盘价:大商所:玉米期货主力合约价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Main Contract Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0,2010723617,收盘价:大商所:玉米期货主力合约价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Main Contract Price Index,S010723617,S010723558,0,日,点,当期值,2.0,全国,中国,,不重要,大连商品交易所,,2976,getEcoDataIndAgricultural,2013-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,收盘价:大商所:玉米期货主力合约价格指数,收盘价:大商所:玉米期货主力合约价格指数,False,Closing Price: Dalian Commodity Exchange: Corn Futures Main Contract Price Index,Closing Price: Dalian Commodity Exchange: Corn Futures Main Contract Price Index,False,日,日,False,点,点,False,当期值,当期值,False,全国,全国,False,中国,中国,False,大连商品交易所,大连商品交易所,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2013-01-04,2013-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,收盘价:大商所:玉米期货主力合约价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Main Contract Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
801010,农林牧渔,10,2010723610,收盘价:大商所:玉米期货价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-07,1,150.0,2010723610,收盘价:大商所:玉米期货价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Price Index,S010723610,S010723558,0,日,点,当期值,2.0,全国,中国,,不重要,大连商品交易所,,2976,getEcoDataIndAgricultural,2013-01-04,2026-08-12,1,EcoInfoProGet,2026-08-13T01:09:36.711019+00:00,收盘价:大商所:玉米期货价格指数,收盘价:大商所:玉米期货价格指数,False,Closing Price: Dalian Commodity Exchange: Corn Futures Price Index,Closing Price: Dalian Commodity Exchange: Corn Futures Price Index,False,日,日,False,点,点,False,当期值,当期值,False,全国,全国,False,中国,中国,False,大连商品交易所,大连商品交易所,False,getEcoDataIndAgricultural,getEcoDataIndAgricultural,False,2013-01-04,2013-01-04,False,2026-08-07,2026-08-12,True,1,1,False,True,True,收盘价:大商所:玉米期货价格指数,Closing Price: Dalian Commodity Exchange: Corn Futures Price Index,日,点,当期值,全国,中国,大连商品交易所,getEcoDataIndAgricultural,2013-01-04,2026-08-11,1,False,False,False,False,False,False,False,False,False,False,True,False,True
