uqer_indic_id,uqer_api_name,observation_rows,period_start,period_end,publish_date_non_null_rows,has_observations
1010000013,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000022,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000025,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000026,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000047,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000049,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000050,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000059,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000061,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010000062,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010007671,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010007673,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010007992,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010007993,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010007994,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010008406,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010008420,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010008421,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010008423,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010011707,EcoDataChinaGet,41,2016-03-31,2026-03-31,41,True
1010011708,EcoDataChinaGet,41,2016-03-31,2026-03-31,41,True
1010011709,EcoDataChinaGet,41,2016-03-31,2026-03-31,41,True
1010012050,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010012052,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010012054,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010012056,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010012058,EcoDataChinaGet,42,2016-03-31,2026-06-30,42,True
1010012060,EcoDataChinaGet,42,2016-03-31,2026-06-30,42,True
1010013683,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010013685,EcoDataChinaGet,45,2015-03-31,2026-03-31,45,True
1010013814,EcoDataChinaGet,45,2015-03-31,2026-03-31,44,True
1010013815,EcoDataChinaGet,45,2015-03-31,2026-03-31,44,True
1010013816,EcoDataChinaGet,45,2015-03-31,2026-03-31,44,True
1010014281,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014283,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014286,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014297,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014299,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014302,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014341,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014342,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014344,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014347,EcoDataChinaGet,42,2016-03-31,2026-06-30,42,True
1010014353,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014354,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014356,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010014359,EcoDataChinaGet,42,2016-03-31,2026-06-30,42,True
1010015483,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010015484,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010015487,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010015488,EcoDataChinaGet,46,2015-03-31,2026-06-30,46,True
1010016038,EcoDataChinaGet,95,2015-03-31,2026-07-31,75,True
1010017937,EcoDataChinaGet,44,2015-09-30,2026-06-30,16,True
1010017940,EcoDataChinaGet,38,2017-03-31,2026-06-30,16,True
1010017949,EcoDataChinaGet,40,2016-09-30,2026-06-30,16,True
1010017950,EcoDataChinaGet,40,2016-09-30,2026-06-30,16,True
1010017964,EcoDataChinaGet,46,2015-03-31,2026-06-30,16,True
1010017967,EcoDataChinaGet,38,2017-03-31,2026-06-30,16,True
1010017976,EcoDataChinaGet,46,2015-03-31,2026-06-30,16,True
1010017977,EcoDataChinaGet,46,2015-03-31,2026-06-30,16,True
1020000130,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000131,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000137,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000138,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000139,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000142,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000144,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000145,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000146,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000148,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000151,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000154,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000160,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000161,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000171,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000172,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000178,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000179,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000180,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000183,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000185,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000186,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000187,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000189,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000192,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000195,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000201,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000202,EcoDataChinaGet,114,2015-03-31,2026-06-30,114,True
1020000617,EcoDataChinaGet,126,2015-02-28,2026-06-30,126,True
1020000667,EcoDataChinaGet,126,2015-02-28,2026-06-30,126,True
1020000837,EcoDataChinaGet,126,2015-02-28,2026-06-30,126,True
1020000838,EcoDataChinaGet,126,2015-02-28,2026-06-30,126,True
1020000848,EcoDataChinaGet,126,2015-02-28,2026-06-30,126,True
1020000857,EcoDataChinaGet,126,2015-02-28,2026-06-30,126,True
