mapping_row_id,wind_name,wind_code,industry_code,function_type,calculation_type,ValueChain_type,candidate_rank,candidate_strength,match_score,name_feature_recall,uqer_indic_id,uqer_name,uqer_frequency,uqer_unit,uqer_stat_type,uqer_region,uqer_source,uqer_api,uqer_begin_date,uqer_end_date,uqer_is_update,conflict_flag,人工审核结论,人工审核备注,审核提示
3,欧佩克:产量:原油,S5105044,801960,产量,当期值,上游,1,中等候选,0.652873,0.437373,2020749084,日本:产量:原油,月,千升,当期值,日本,日本石油协会,getEcoDataIndEnergy,2002/1/31,2026/5/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
9,中海油服:钻井服务日历天使用率,S0235576,801960,开工率,比率,上游,1,中等候选,0.641807,0.757791,2020709395,中海油服:日历天使用率:钻井服务:累计值,季,%,累计值,nan,上市公司公告,getEcoDataIndEnergy,2007/9/30,2024/3/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
11,现货离岸价(FOB):动力煤:澳大利亚纽卡斯尔/肯布拉港,S0048348,801950,价格,原始值,下游,1,中等候选,0.641554,0.721078,2020000630,离岸价(FOB):动力煤:澳大利亚纽卡斯尔港NEWCIndex(周),周,美元/吨,当期值,nan,Datayes!,getEcoDataIndEnergy,2008/5/16,2026/7/24,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
23,中国:产能:电解铝:当月值,S9986545,801050,产量,当期值,中游,1,中等候选,0.637177,0.523782,1020008684,产量:原铝(电解铝):当月值,月,万吨,当期值,全国,国家统计局,getEcoDataChina,2002/4/30,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
24,中国:产能利用率:电解铝,S5811159,801050,开工率,比率,中游,1,中等候选,0.729644,0.689314,2030740829,红星发展:产能利用率:电解二氧化锰项目:累计值,年,%,累计值,nan,上市公司公告,getEcoDataIndChemical,2016/12/31,2025/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
45,中国:现货价:钛白粉(金红石型),S5470446,801030,价格,原始值,中游,1,中等候选,0.734059,0.872189,2030725762,市场价:钛白粉(金红石型(R2型)),月,元/吨,当期值,全国,Datayes!,getEcoDataIndChemical,2018/7/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
49,中国:社会库存量:聚氯乙烯,S5471265,801030,库存,当期值,中游,1,中等候选,0.681799,0.554706,2030742179,潞化科技:库存量:聚氯乙烯:期末值,年,吨,期末值,nan,上市公司公告,getEcoDataIndChemical,2015/12/31,2025/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
51,中国:表观消费量:聚氯乙烯:当月值,S9987579,801030,需求,当期值,下游,1,中等候选,0.689069,0.527964,2030710542,进口数量:聚氯乙烯:当月值:江西,月,吨,当期值,江西省,Datayes!,getEcoDataIndChemical,2019/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
58,中国:现货价:精对苯二甲酸,S5470301,801030,价格,原始值,中游,1,中等候选,0.714629,0.843183,2030725832,市场价:精对苯二甲酸(优等品),月,元/吨,当期值,全国,Datayes!,getEcoDataIndChemical,2018/7/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
62,中国:华东地区:市场价(平均价):涤纶长丝(POY150D/48F),S5442372,801030,价格,原始值,中游,1,中等候选,0.613319,0.623265,2030725912,市场价:涤纶长丝(POY150D/48),月,元/吨,当期值,全国,Datayes!,getEcoDataIndChemical,2018/7/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
