快照日期,成分代码,成分简称,投资类型_一级分类,投资类型_二级分类,跟踪指数代码,映射状态
2026-06-30,159100.SZ,巴西ETF华夏,国际(QDII)基金,国际(QDII)股票型基金,IBOVESPA.GI,已映射
2026-06-30,512480.SH,半导体ETF国联安,股票型基金,被动指数型基金,h30184.CSI,已映射
2026-06-30,508082.SH,中金唯品会奥莱REIT,,,,映射缺失
2026-06-30,508066.SH,华泰江苏交控REIT,,,,映射缺失
2026-06-30,159352.SZ,A500ETF南方,股票型基金,被动指数型基金,000510.SH,已映射
2026-06-30,513400.SH,道琼斯ETF鹏华,国际(QDII)基金,国际(QDII)股票型基金,DJI.GI,已映射
2026-06-30,159397.SZ,信用债ETF广发,,,,映射缺失
2026-06-30,511220.SH,城投债ETF海富通,债券型基金,被动指数型债券基金,h11098.SH,已映射
2026-06-30,159981.SZ,能源化工ETF建信,另类投资基金,商品型基金,000201.CZC,已映射
2026-06-30,511380.SH,可转债ETF博时,债券型基金,被动指数型债券基金,931078.CSI,已映射
2026-06-30,159783.SZ,科创创业50ETF华夏,股票型基金,被动指数型基金,931643.CSI,已映射
2026-06-30,511520.SH,政金债ETF富国,债券型基金,被动指数型债券基金,CBA08203.CS,已映射
2026-06-30,159819.SZ,人工智能ETF易方达,,,,映射缺失
2026-06-30,159985.SZ,豆粕ETF华夏,另类投资基金,商品型基金,DCESMFI.DCE,已映射
2026-06-30,518880.SH,黄金ETF华安,另类投资基金,商品型基金,Au9999.SGE,已映射
2026-06-30,512890.SH,红利低波ETF华泰柏瑞,股票型基金,被动指数型基金,h30269.CSI,已映射
2026-06-30,159600.SZ,科创债ETF嘉实,,,,映射缺失
2026-06-30,512400.SH,有色金属ETF南方,,,,映射缺失
2026-06-30,159941.SZ,纳指ETF广发,,,,映射缺失
2026-06-30,513120.SH,港股创新药ETF广发,国际(QDII)基金,国际(QDII)股票型基金,931787CNY00.CSI,已映射
2026-06-30,516020.SH,化工ETF华宝,股票型基金,被动指数型基金,000813.CSI,已映射
2026-06-30,515790.SH,光伏ETF华泰柏瑞,,,,映射缺失
2026-06-30,159611.SZ,电力ETF广发,股票型基金,被动指数型基金,h30199.CSI,已映射
2026-06-30,513310.SH,中韩半导体ETF华泰柏瑞,,,,映射缺失
2026-06-30,588200.SH,科创芯片ETF嘉实,,,,映射缺失
2026-06-30,159980.SZ,有色ETF大成,另类投资基金,商品型基金,IMCI.SHF,已映射
2026-06-30,515220.SH,煤炭ETF国泰,,,,映射缺失
2026-06-30,513030.SH,德国ETF华安,国际(QDII)基金,国际(QDII)股票型基金,GDAXI.GI,已映射
2026-06-30,513520.SH,日经ETF华夏,,,,映射缺失
2026-06-30,159222.SZ,自由现金流ETF易方达,股票型基金,被动指数型基金,980092.CNI,已映射
2026-06-30,159695.SZ,通信ETF嘉实,股票型基金,被动指数型基金,399389.SZ,已映射
2026-06-30,561160.SH,电池ETF富国,股票型基金,被动指数型基金,931719.CSI,已映射
