secID,publishDate,secShortName,ticker,porgFullName,baseDate,basePoint,returnType,wMethodCD,pubName,query
931227.ZICN,2023-03-22,中证国泰海通ESG股债联动,931227,中证指数有限公司,2017-12-29,1000,P,I41,中证指数有限公司,简称_国泰海通
931995.ZICN,2022-07-15,中证国泰海通大类资产配置,931995,中证指数有限公司,2017-12-29,1000,TR,O,中证指数有限公司,简称_国泰海通
CBA27501.XIBE,2022-12-15,中债国泰海通陕川渝国企信用增强债券精选总值财富,CBA27501,中央国债登记结算有限责任公司,2016-12-31,100,TR,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBA27502.XIBE,2022-12-15,中债国泰海通陕川渝国企信用增强债券精选总值净价,CBA27502,中央国债登记结算有限责任公司,2016-12-31,100,P,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBA27503.XIBE,2022-12-15,中债国泰海通陕川渝国企信用增强债券精选总值全价,CBA27503,中央国债登记结算有限责任公司,2016-12-31,100,P,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBC02501.XIBE,2020-08-13,中债国泰海通10年期国债期货可交割券流动性加权总值财富,CBC02501,中央国债登记结算有限责任公司,2017-12-31,100,TR,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBC02501.XIBE2,2020-08-13,中债国泰海通10年期国债期货可交割券流动性加权总值净价,CBC02502,中央国债登记结算有限责任公司,2017-12-31,100,P,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBC02501.XIBE3,2020-08-13,中债国泰海通10年期国债期货可交割券流动性加权总值全价,CBC02503,中央国债登记结算有限责任公司,2017-12-31,100,P,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBF00501.XIBE,2022-07-21,中债国泰海通久期配置策略总值财富,CBF00501,中央国债登记结算有限责任公司,2015-12-31,100,TR,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBF00502.XIBE,2022-07-21,中债国泰海通久期配置策略总值净价,CBF00502,中央国债登记结算有限责任公司,2015-12-31,100,P,I43,中央国债登记结算有限责任公司,简称_国泰海通
CBF00503.XIBE,2022-07-21,中债国泰海通久期配置策略总值全价,CBF00503,中央国债登记结算有限责任公司,2015-12-31,100,P,I43,中央国债登记结算有限责任公司,简称_国泰海通
SCH00910J.XIBE,2022-07-29,上海清算所国泰君安华安低碳高等级信用债净价,SCH00910J,银行间市场清算所股份有限公司,2019-12-26,100,P,I43,银行间市场清算所股份有限公司,简称_国泰君安
SCH00910Q.XIBE,2022-07-29,上海清算所国泰君安华安低碳高等级信用债全价,SCH00910Q,银行间市场清算所股份有限公司,2019-12-26,100,P,I43,银行间市场清算所股份有限公司,简称_国泰君安
SCH00910Z.XIBE,2022-07-29,上海清算所国泰君安华安低碳高等级信用债总收益,SCH00910Z,银行间市场清算所股份有限公司,2019-12-26,100,TR,I43,银行间市场清算所股份有限公司,简称_国泰君安
801639.ZICN,2025-12-31,华安ETF大类资产配置,801639,上海申银万国证券研究所有限公司,2018-12-28,1000,P,I53,上海申银万国证券研究所有限公司,简称_大类资产
930953.ZICN,2017-05-26,中证中信大类资产,930953,中证指数有限公司,2006-12-29,1000,P,I56,中证指数有限公司,简称_大类资产
931995.ZICN,2022-07-15,中证国泰海通大类资产配置,931995,中证指数有限公司,2017-12-29,1000,TR,O,中证指数有限公司,简称_大类资产
