指数代码,指数简称,区间,指标,原文数值,最接近数值,绝对差,最接近预定义口径,判定,候选方法数,说明
CI011800.WI,国泰海通资产配置,发布前回溯期,年化收益,0.0336,0.034447569528571455,0.0008475695285714568,Wind基点敏感性|日收益算术均值×252,近似,18,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011800.WI,国泰海通资产配置,发布前回溯期,最大回撤,-0.0993,-0.09930632036116815,6.320361168155042e-06,Wind实际更新日|标准历史峰值法,可解释,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011800.WI,国泰海通资产配置,发布前回溯期,夏普,0.25,0.24481408509192656,0.005185914908073436,Wind实际更新日|日频算术夏普|Rf=0.0%,可解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011800.WI,国泰海通资产配置,发布后运行期,年化收益,0.1932,0.18935984536377348,0.003840154636226528,手工统一日历|实际日历CAGR,近似,12,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011800.WI,国泰海通资产配置,发布后运行期,最大回撤,-0.1029,-0.10294797288234836,4.7972882348354395e-05,Wind实际更新日|标准历史峰值法,可解释,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011800.WI,国泰海通资产配置,发布后运行期,夏普,1.58,1.577382148785775,0.0026178512142249755,手工统一日历|周频算术夏普|Rf=2.0%,可解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CICSF040.WI,中信期货大类资产配置,全历史,年化收益,0.1141,0.11235570969359565,0.001744290306404342,Wind实际更新日|实际日历CAGR,近似,12,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CICSF040.WI,中信期货大类资产配置,全历史,最大回撤,-0.0385,-0.038496565855879905,3.4341441200944067e-06,手工统一日历|标准历史峰值法,可解释,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CICSF040.WI,中信期货大类资产配置,全历史,年化波动,0.0469,0.04683699944423776,6.30005557622354e-05,手工统一日历|月频标准差×√12,可解释,6,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CICSF040.WI,中信期货大类资产配置,全历史,夏普,2.08,2.0857363690753767,0.005736369075376668,Wind实际更新日|日频算术夏普|Rf=1.0%,可解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011001.WI,国泰海通全天候,发布前回溯期,年化收益,0.068,0.078892118556418,0.010892118556418001,手工统一日历|日收益算术均值×252,未解释,12,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011001.WI,国泰海通全天候,发布前回溯期,最大回撤,-0.0462,-0.042609318555821174,0.003590681444178824,Wind实际更新日|标准历史峰值法,近似,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011001.WI,国泰海通全天候,发布前回溯期,夏普,1.56,1.5394834390282839,0.02051656097171617,手工统一日历|CAGR/日频波动|Rf=2.0%,可解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011001.WI,国泰海通全天候,发布后运行期,年化收益,0.0949,0.09607330412445236,0.001173304124452365,Wind实际更新日|252交易日几何年化,近似,12,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011001.WI,国泰海通全天候,发布后运行期,最大回撤,-0.0304,-0.03036504470697632,3.4955293023681416e-05,手工统一日历|标准历史峰值法,可解释,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
CI011001.WI,国泰海通全天候,发布后运行期,夏普,1.95,1.9451719788859188,0.004828021114081205,Wind实际更新日|CAGR/日频波动|Rf=1.0%,可解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
GALLW.WI,银河全天候,发布前回溯期,年化收益,0.1238,0.12113379702007343,0.002666202979926563,Wind实际更新日|252交易日几何年化,近似,12,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
GALLW.WI,银河全天候,发布前回溯期,最大回撤,-0.0544,-0.0543765939311559,2.340606884409374e-05,Wind实际更新日|标准历史峰值法,可解释,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
GALLW.WI,银河全天候,发布前回溯期,夏普,3.9,2.1389037943517506,1.7610962056482493,手工统一日历|月频算术夏普|Rf=0.0%,未解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
GALLW.WI,银河全天候,发布后运行期,年化收益,0.0864,0.06470894606247904,0.021691053937520965,Wind实际更新日|日收益算术均值×252,未解释,12,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
GALLW.WI,银河全天候,发布后运行期,最大回撤,-0.0799,-0.07989942496836222,5.750316377783893e-07,手工统一日历|标准历史峰值法,可解释,2,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
GALLW.WI,银河全天候,发布后运行期,夏普,1.61,0.7853906958828083,0.8246093041171918,手工统一日历|周频算术夏普|Rf=0.0%,未解释,48,只枚举预先定义的两数据日历、频率、Rf与年化方法；未搜索任意起止日
