指标组,数据源,统一方法,声明数,平均绝对误差,均方根误差,最大绝对误差,误差单位,组内排名
夏普,手工统一日历,周频算术夏普|Rf=1.0%,7,0.5198215254942519,0.9140484544927817,2.210157858769411,夏普值,1
夏普,Wind实际更新日,日频算术夏普|Rf=1.0%,7,0.5371698546660008,0.9734570257056043,2.3015058587717414,夏普值,2
夏普,手工统一日历,CAGR/日频波动|Rf=1.5%,7,0.5494988740566402,0.9960124624666242,2.3258088122970837,夏普值,3
夏普,手工统一日历,日频算术夏普|Rf=1.0%,7,0.5505654657101767,0.9993197562594966,2.370610857631374,夏普值,4
夏普,Wind实际更新日,CAGR/日频波动|Rf=1.0%,7,0.5575900099164525,0.9871359646637633,2.3069886966128514,夏普值,5
夏普,手工统一日历,CAGR/日频波动|Rf=1.0%,7,0.5606049609391381,0.9659514570812512,2.248091863343433,夏普值,6
夏普,手工统一日历,周频算术夏普|Rf=0.0%,7,0.5624444685264826,0.8535547923144677,2.044142095630777,夏普值,7
夏普,手工统一日历,周频算术夏普|Rf=1.5%,7,0.57145976908346,0.9547821541430201,2.29256215082056,夏普值,8
夏普,Wind实际更新日,日频算术夏普|Rf=1.5%,7,0.5749625093611413,1.0064964802766063,2.3755305825756126,夏普值,9
夏普,Wind实际更新日,周频算术夏普|Rf=1.0%,7,0.5750198047222046,0.9684866820455342,2.246918018844856,夏普值,10
夏普,手工统一日历,日频算术夏普|Rf=0.0%,7,0.5841313312222315,0.9434564346322921,2.215945933147878,夏普值,11
夏普,Wind实际更新日,CAGR/日频波动|Rf=1.5%,7,0.5870718312053557,1.0210656476019886,2.3819348834383325,夏普值,12
夏普,Wind实际更新日,周频算术夏普|Rf=0.0%,7,0.5885878096837566,0.9023504003990053,2.0822349297806477,夏普值,13
夏普,手工统一日历,CAGR/日频波动|Rf=2.0%,7,0.5903326565436445,1.0327754794493629,2.4035257612507346,夏普值,14
夏普,Wind实际更新日,日频算术夏普|Rf=0.0%,7,0.595590370525286,0.9267725498133464,2.1523550431291705,夏普值,15
夏普,手工统一日历,日频算术夏普|Rf=1.5%,7,0.601033225038462,1.037041006056118,2.447372277055818,夏普值,16
夏普,Wind实际更新日,CAGR/日频波动|Rf=0.0%,7,0.6149215502027509,0.9390390586790314,2.1570963229618885,夏普值,17
夏普,Wind实际更新日,周频算术夏普|Rf=1.5%,7,0.6313520440469887,1.0109644843210808,2.328660819110154,夏普值,18
夏普,Wind实际更新日,日频算术夏普|Rf=2.0%,7,0.6370618403379064,1.045091478154499,2.449192987009189,夏普值,19
夏普,手工统一日历,周频算术夏普|Rf=2.0%,7,0.6405079970720153,1.0012728100235286,2.3745692746054683,夏普值,20
夏普,手工统一日历,月频算术夏普|Rf=0.0%,7,0.6444647099670322,0.8684827955168798,1.7610962056482493,夏普值,21
