事件,指定起始日,指定结束日,指数代码,指数简称,实际起始点,实际结束点,窗口观测数,区间收益,窗口内最大回撤,窗口峰值日,窗口谷值日
2015股市急跌,2015-06-12,2015-09-15,CI011800.WI,国泰海通资产配置,,,0,,,,
2015股市急跌,2015-06-12,2015-09-15,CICSF040.WI,中信期货大类资产配置,2015-06-12,2015-09-15,65,0.011206534327193207,-0.015425709075675087,2015-06-12,2015-07-01
2015股市急跌,2015-06-12,2015-09-15,CI011001.WI,国泰海通全天候,2015-06-12,2015-09-15,65,-0.007460336055054917,-0.01704389229690151,2015-06-12,2015-06-19
2015股市急跌,2015-06-12,2015-09-15,GALLW.WI,银河全天候,,,0,,,,
2018风险资产熊市,2018-01-24,2019-01-03,CI011800.WI,国泰海通资产配置,,,0,,,,
2018风险资产熊市,2018-01-24,2019-01-03,CICSF040.WI,中信期货大类资产配置,2018-01-24,2019-01-03,229,0.04135510601072556,-0.03744076417506459,2018-01-26,2018-02-09
2018风险资产熊市,2018-01-24,2019-01-03,CI011001.WI,国泰海通全天候,2018-01-24,2019-01-03,229,0.08977672538405335,-0.04196131967859529,2018-01-26,2018-03-05
2018风险资产熊市,2018-01-24,2019-01-03,GALLW.WI,银河全天候,,,0,,,,
2020疫情冲击,2020-02-19,2020-03-23,CI011800.WI,国泰海通资产配置,,,0,,,,
2020疫情冲击,2020-02-19,2020-03-23,CICSF040.WI,中信期货大类资产配置,2020-02-19,2020-03-23,24,-0.013025852062730991,-0.03211661005433897,2020-03-09,2020-03-19
2020疫情冲击,2020-02-19,2020-03-23,CI011001.WI,国泰海通全天候,2020-02-19,2020-03-23,24,-0.0033862989432759116,-0.026142621162058455,2020-03-09,2020-03-19
2020疫情冲击,2020-02-19,2020-03-23,GALLW.WI,银河全天候,,,0,,,,
2022股债压力,2021-12-31,2022-12-30,CI011800.WI,国泰海通资产配置,,,0,,,,
2022股债压力,2021-12-31,2022-12-30,CICSF040.WI,中信期货大类资产配置,2021-12-31,2022-12-30,243,0.07463812546278259,-0.03813164346035902,2022-03-09,2022-03-15
2022股债压力,2021-12-31,2022-12-30,CI011001.WI,国泰海通全天候,2021-12-31,2022-12-30,243,0.019760121705904687,-0.023220481715973573,2022-11-10,2022-12-20
2022股债压力,2021-12-31,2022-12-30,GALLW.WI,银河全天候,2021-12-31,2022-12-30,243,0.04705257386351769,-0.0543765939311559,2022-03-07,2022-07-15
2025多资产行情,2024-12-31,2025-12-31,CI011800.WI,国泰海通资产配置,2024-12-31,2025-12-31,244,0.32975353625112236,-0.0434183400871101,2025-11-13,2025-11-21
2025多资产行情,2024-12-31,2025-12-31,CICSF040.WI,中信期货大类资产配置,2024-12-31,2025-12-31,244,0.13910350949901962,-0.02226246862198822,2025-02-12,2025-03-11
2025多资产行情,2024-12-31,2025-12-31,CI011001.WI,国泰海通全天候,2024-12-31,2025-12-31,244,0.09491238331273077,-0.024121789197592336,2025-02-11,2025-02-27
2025多资产行情,2024-12-31,2025-12-31,GALLW.WI,银河全天候,2024-12-31,2025-12-31,244,0.20191060721126153,-0.025499707815266226,2025-04-03,2025-04-07
