年份,国泰海通资配,中信期货,国泰海通全天候,银河全天候
2009,,,0.12552569999999985,
2010,,,0.10444994725575807,
2011,,,0.038557243146657205,
2012,,,0.030974190266153112,
2013,,,0.060794888073297804,
2014,,,0.1552002860212025,
2015,,0.16199129999999995,0.0743557142368414,
2016,,0.20963668144503322,0.09213868327721375,
2017,,0.10192088388960263,0.05882683052999549,
2018,,0.05859827252031513,0.09550955150292717,
2019,,0.13310352604897635,0.08451779195923304,
2020,,0.08182171475199995,0.13789141743494993,
2021,,0.06611944971748951,0.07664169869794213,0.054173999999999944
2022,,0.07463812546278259,0.019760121705904687,0.04705257386351769
2023,0.0058042581438122465,0.05947245984552141,0.0601460040297197,0.0901263807607271
2024,0.07818838350983537,0.12968342591804283,0.15743258548763905,0.13198757802690042
2025,0.32975353625112236,0.13910350949901962,0.09491238331273077,0.20191060721126153
2026,0.13021796252381646,0.09325569991044391,0.07775425164855654,0.02965366692120419
