指数代码,日期,rolling_return,rolling_volatility,rolling_sharpe,rolling_drawdown
CI011800.WI,2023-01-03,,,,
CI011800.WI,2023-01-04,,,,
CI011800.WI,2023-01-05,,,,
CI011800.WI,2023-01-06,,,,
CI011800.WI,2023-01-09,,,,
CI011800.WI,2023-01-10,,,,
CI011800.WI,2023-01-11,,,,
CI011800.WI,2023-01-12,,,,
CI011800.WI,2023-01-13,,,,
CI011800.WI,2023-01-16,,,,
CI011800.WI,2023-01-17,,,,
CI011800.WI,2023-01-18,,,,
CI011800.WI,2023-01-19,,,,
CI011800.WI,2023-01-20,,,,
CI011800.WI,2023-01-30,,,,
CI011800.WI,2023-01-31,,,,
CI011800.WI,2023-02-01,,,,
CI011800.WI,2023-02-02,,,,
CI011800.WI,2023-02-03,,,,
CI011800.WI,2023-02-06,,,,
CI011800.WI,2023-02-07,,,,
CI011800.WI,2023-02-08,,,,
CI011800.WI,2023-02-09,,,,
CI011800.WI,2023-02-10,,,,
CI011800.WI,2023-02-13,,,,
CI011800.WI,2023-02-14,,,,
CI011800.WI,2023-02-15,,,,
CI011800.WI,2023-02-16,,,,
CI011800.WI,2023-02-17,,,,
CI011800.WI,2023-02-20,,,,
CI011800.WI,2023-02-21,,,,
CI011800.WI,2023-02-22,,,,
CI011800.WI,2023-02-23,,,,
CI011800.WI,2023-02-24,,,,
CI011800.WI,2023-02-27,,,,
CI011800.WI,2023-02-28,,,,
CI011800.WI,2023-03-01,,,,
CI011800.WI,2023-03-02,,,,
CI011800.WI,2023-03-03,,,,
CI011800.WI,2023-03-06,,,,
CI011800.WI,2023-03-07,,,,
CI011800.WI,2023-03-08,,,,
CI011800.WI,2023-03-09,,,,
CI011800.WI,2023-03-10,,,,
CI011800.WI,2023-03-13,,,,
CI011800.WI,2023-03-14,,,,
CI011800.WI,2023-03-15,,,,
CI011800.WI,2023-03-16,,,,
CI011800.WI,2023-03-17,,,,
CI011800.WI,2023-03-20,,,,
CI011800.WI,2023-03-21,,,,
CI011800.WI,2023-03-22,,,,
CI011800.WI,2023-03-23,,,,
CI011800.WI,2023-03-24,,,,
CI011800.WI,2023-03-27,,,,
CI011800.WI,2023-03-28,,,,
CI011800.WI,2023-03-29,,,,
CI011800.WI,2023-03-30,,,,
CI011800.WI,2023-03-31,,,,
CI011800.WI,2023-04-03,,,,
CI011800.WI,2023-04-04,,,,
CI011800.WI,2023-04-06,,,,
CI011800.WI,2023-04-07,,,,
CI011800.WI,2023-04-10,,,,
CI011800.WI,2023-04-11,,,,
CI011800.WI,2023-04-12,,,,
CI011800.WI,2023-04-13,,,,
CI011800.WI,2023-04-14,,,,
CI011800.WI,2023-04-17,,,,
CI011800.WI,2023-04-18,,,,
CI011800.WI,2023-04-19,,,,
CI011800.WI,2023-04-20,,,,
CI011800.WI,2023-04-21,,,,
CI011800.WI,2023-04-24,,,,
CI011800.WI,2023-04-25,,,,
CI011800.WI,2023-04-26,,,,
CI011800.WI,2023-04-27,,,,
CI011800.WI,2023-04-28,,,,
CI011800.WI,2023-05-04,,,,
CI011800.WI,2023-05-05,,,,
CI011800.WI,2023-05-08,,,,
CI011800.WI,2023-05-09,,,,
CI011800.WI,2023-05-10,,,,
CI011800.WI,2023-05-11,,,,
CI011800.WI,2023-05-12,,,,
CI011800.WI,2023-05-15,,,,
CI011800.WI,2023-05-16,,,,
CI011800.WI,2023-05-17,,,,
CI011800.WI,2023-05-18,,,,
CI011800.WI,2023-05-19,,,,
CI011800.WI,2023-05-22,,,,
CI011800.WI,2023-05-23,,,,
CI011800.WI,2023-05-24,,,,
CI011800.WI,2023-05-25,,,,
CI011800.WI,2023-05-26,,,,
CI011800.WI,2023-05-29,,,,
CI011800.WI,2023-05-30,,,,
CI011800.WI,2023-05-31,,,,
CI011800.WI,2023-06-01,,,,
CI011800.WI,2023-06-02,,,,
CI011800.WI,2023-06-05,,,,
CI011800.WI,2023-06-06,,,,
CI011800.WI,2023-06-07,,,,
CI011800.WI,2023-06-08,,,,
CI011800.WI,2023-06-09,,,,
CI011800.WI,2023-06-12,,,,
CI011800.WI,2023-06-13,,,,
CI011800.WI,2023-06-14,,,,
CI011800.WI,2023-06-15,,,,
CI011800.WI,2023-06-16,,,,
CI011800.WI,2023-06-19,,,,
CI011800.WI,2023-06-20,,,,
CI011800.WI,2023-06-21,,,,
CI011800.WI,2023-06-26,,,,
CI011800.WI,2023-06-27,,,,
CI011800.WI,2023-06-28,,,,
CI011800.WI,2023-06-29,,,,
CI011800.WI,2023-06-30,,,,
CI011800.WI,2023-07-03,,,,
CI011800.WI,2023-07-04,,,,
CI011800.WI,2023-07-05,,,,
CI011800.WI,2023-07-06,,,,
CI011800.WI,2023-07-07,,,,
CI011800.WI,2023-07-10,,,,
CI011800.WI,2023-07-11,,,,
CI011800.WI,2023-07-12,,,,
CI011800.WI,2023-07-13,,,,
CI011800.WI,2023-07-14,,,,
CI011800.WI,2023-07-17,,,,
CI011800.WI,2023-07-18,,,,
CI011800.WI,2023-07-19,,,,
CI011800.WI,2023-07-20,,,,
CI011800.WI,2023-07-21,,,,
CI011800.WI,2023-07-24,,,,
CI011800.WI,2023-07-25,,,,
CI011800.WI,2023-07-26,,,,
CI011800.WI,2023-07-27,,,,
CI011800.WI,2023-07-28,,,,
CI011800.WI,2023-07-31,,,,
CI011800.WI,2023-08-01,,,,
CI011800.WI,2023-08-02,,,,
CI011800.WI,2023-08-03,,,,
CI011800.WI,2023-08-04,,,,
CI011800.WI,2023-08-07,,,,
CI011800.WI,2023-08-08,,,,
CI011800.WI,2023-08-09,,,,
CI011800.WI,2023-08-10,,,,
CI011800.WI,2023-08-11,,,,
CI011800.WI,2023-08-14,,,,
CI011800.WI,2023-08-15,,,,
CI011800.WI,2023-08-16,,,,
CI011800.WI,2023-08-17,,,,
CI011800.WI,2023-08-18,,,,
CI011800.WI,2023-08-21,,,,
CI011800.WI,2023-08-22,,,,
CI011800.WI,2023-08-23,,,,
CI011800.WI,2023-08-24,,,,
CI011800.WI,2023-08-25,,,,
CI011800.WI,2023-08-28,,,,
CI011800.WI,2023-08-29,,,,
CI011800.WI,2023-08-30,,,,
CI011800.WI,2023-08-31,,,,
CI011800.WI,2023-09-01,,,,
CI011800.WI,2023-09-04,,,,
CI011800.WI,2023-09-05,,,,
CI011800.WI,2023-09-06,,,,
CI011800.WI,2023-09-07,,,,
CI011800.WI,2023-09-08,,,,
CI011800.WI,2023-09-11,,,,
CI011800.WI,2023-09-12,,,,
CI011800.WI,2023-09-13,,,,
CI011800.WI,2023-09-14,,,,
CI011800.WI,2023-09-15,,,,
CI011800.WI,2023-09-18,,,,
CI011800.WI,2023-09-19,,,,
CI011800.WI,2023-09-20,,,,
CI011800.WI,2023-09-21,,,,
CI011800.WI,2023-09-22,,,,
CI011800.WI,2023-09-25,,,,
CI011800.WI,2023-09-26,,,,
CI011800.WI,2023-09-27,,,,
CI011800.WI,2023-09-28,,,,
CI011800.WI,2023-10-09,,,,
CI011800.WI,2023-10-10,,,,
CI011800.WI,2023-10-11,,,,
CI011800.WI,2023-10-12,,,,
CI011800.WI,2023-10-13,,,,
CI011800.WI,2023-10-16,,,,
CI011800.WI,2023-10-17,,,,
CI011800.WI,2023-10-18,,,,
CI011800.WI,2023-10-19,,,,
CI011800.WI,2023-10-20,,,,
CI011800.WI,2023-10-23,,,,
CI011800.WI,2023-10-24,,,,
CI011800.WI,2023-10-25,,,,
CI011800.WI,2023-10-26,,,,
CI011800.WI,2023-10-27,,,,
CI011800.WI,2023-10-30,,,,
CI011800.WI,2023-10-31,,,,
CI011800.WI,2023-11-01,,,,
CI011800.WI,2023-11-02,,,,
CI011800.WI,2023-11-03,,,,
CI011800.WI,2023-11-06,,,,
CI011800.WI,2023-11-07,,,,
CI011800.WI,2023-11-08,,,,
CI011800.WI,2023-11-09,,,,
CI011800.WI,2023-11-10,,,,
CI011800.WI,2023-11-13,,,,
CI011800.WI,2023-11-14,,,,
CI011800.WI,2023-11-15,,,,
CI011800.WI,2023-11-16,,,,
CI011800.WI,2023-11-17,,,,
CI011800.WI,2023-11-20,,,,
CI011800.WI,2023-11-21,,,,
CI011800.WI,2023-11-22,,,,
CI011800.WI,2023-11-23,,,,
CI011800.WI,2023-11-24,,,,
CI011800.WI,2023-11-27,,,,
CI011800.WI,2023-11-28,,,,
CI011800.WI,2023-11-29,,,,
CI011800.WI,2023-11-30,,,,
CI011800.WI,2023-12-01,,,,
CI011800.WI,2023-12-04,,,,
CI011800.WI,2023-12-05,,,,
CI011800.WI,2023-12-06,,,,
CI011800.WI,2023-12-07,,,,
CI011800.WI,2023-12-08,,,,
CI011800.WI,2023-12-11,,,,
CI011800.WI,2023-12-12,,,,
CI011800.WI,2023-12-13,,,,
CI011800.WI,2023-12-14,,,,
CI011800.WI,2023-12-15,,,,
CI011800.WI,2023-12-18,,,,
CI011800.WI,2023-12-19,,,,
CI011800.WI,2023-12-20,,,,
CI011800.WI,2023-12-21,,,,
CI011800.WI,2023-12-22,,,,
CI011800.WI,2023-12-25,,,,
CI011800.WI,2023-12-26,,,,
CI011800.WI,2023-12-27,,,,
CI011800.WI,2023-12-28,,,,
CI011800.WI,2023-12-29,,,,
CI011800.WI,2024-01-02,,,,
CI011800.WI,2024-01-03,,,,
CI011800.WI,2024-01-04,,,,
CI011800.WI,2024-01-05,,,,
CI011800.WI,2024-01-08,,,,
CI011800.WI,2024-01-09,,,,
CI011800.WI,2024-01-10,,,,
CI011800.WI,2024-01-11,,,,
CI011800.WI,2024-01-12,,,,
CI011800.WI,2024-01-15,,,,-0.08911216889056128
CI011800.WI,2024-01-16,-0.010757508597600607,0.08273632020493674,-0.26947035272282854,-0.08949101790138947
CI011800.WI,2024-01-17,-0.02315087687779871,0.08339506645854415,-0.41785049552372017,-0.09920828566999518
CI011800.WI,2024-01-18,-0.032428837058463666,0.08292971820900556,-0.5357222010421729,-0.0999876478109637
