文章序号,Wind代码,证券简称,发布日期,基期,收益处理方式,发布机构,发布切分锚点,计算截止日,数据状态,公众号判断,公众号分组,全历史起始日,全历史截止日,全历史观测数,全历史年数,全历史年化收益,全历史年化波动,全历史最大回撤,全历史夏普,发布前起始日,发布前截止日,发布前观测数,发布前年数,发布前年化收益,发布前年化波动,发布前最大回撤,发布前夏普,发布后起始日,发布后截止日,发布后观测数,发布后年数,发布后年化收益,发布后年化波动,发布后最大回撤,发布后夏普,收益差,夏普差,复算判断,项目评价
1,CI011001.WI,国泰海通全天候指数,2019-08-01,2009-01-08,全收益指数,新加坡证券交易所,2019-08-01,2026-08-05,正常更新,样本外更好,19只发布前后比较,2009-01-08,2026-08-05,4269,17.571887170852243,0.08733921963558755,0.0427710388954248,-0.042609318555821174,1.704786037595521,2009-01-08,2019-08-01,2570,10.560107325954673,0.08411547228423188,0.04310953553092705,-0.042609318555821174,1.6171588965630435,2019-08-01,2026-08-05,1700,7.011779844897568,0.09221245123151611,0.04226487535493012,-0.03036401584713433,1.839703483801817,-0.008096978947284228,-0.22254458723877346,基本一致,发布前后年化收益基本一致，未见明显收益衰减。
2,GMARS.WI,国泰海通全天候指数2.0,2024-10-28,2015-07-16,全收益指数,国泰海通证券股份有限公司,2024-10-28,2026-08-05,正常更新,严重过拟合,19只发布前后比较,2015-07-16,2026-08-05,2686,11.055668494219594,0.04548827077661022,0.032253702628174716,-0.042553354760829554,0.9857162253273714,2015-07-16,2024-10-28,2255,9.286980567705017,0.053525477183421266,0.03250206311422313,-0.03958839923886803,1.2240332638951064,2024-10-28,2026-08-05,432,1.7686879265145758,0.004282125415026261,0.030824997326441714,-0.042553354760829554,-0.32426519307434326,0.049243351768395005,1.5482984569694496,过拟合,发布后年化收益明显衰减，与过拟合担忧一致，但不是因果证明。
3,CI011800.WI,国泰海通资产配置指数,2023-11-10,2022-12-31,全收益指数,国泰海通证券股份有限公司,2023-11-10,2026-08-05,正常更新,样本外更好,19只发布前后比较,2023-01-03,2026-08-05,869,3.586658179154945,0.1459017747409661,0.10535494633287101,-0.15316159148261488,1.2576754189330985,2023-01-03,2023-11-10,207,0.8514890791734259,0.016764431831694182,0.08565621149894513,-0.09930632036116815,0.07099070363683838,2023-11-10,2026-08-05,663,2.735169099981519,0.1893587418915048,0.11071351961571718,-0.10294797288234836,1.5521316414022768,-0.17259431005981063,-1.4811409377654383,样本外更好,发布后表现优于回溯段，不支持简单的“发布即失效”叙事。
4,CMARS2.WI,中金全球大类资产配置指数2.0,2023-05-18,2009-01-13,价格指数,中国国际金融股份有限公司,2023-05-18,2026-08-05,正常更新,基本一致,19只发布前后比较,2009-01-13,2026-08-05,4266,17.5581976358173,0.05432938923722763,0.041943441040110704,-0.08592455603043081,0.9747087803443688,2009-01-13,2023-05-18,3486,14.341156902605803,0.05407496408491741,0.0412169237669842,-0.08592455603043081,0.9845332509488888,2023-05-18,2026-08-05,781,3.2170407332114963,0.055464331378569875,0.045074523460796066,-0.042107288262682285,0.937056150419152,-0.001389367293652466,0.04747710052973675,基本一致,发布前后年化收益基本一致，未见明显收益衰减。
6,GALLW.WI,银河全天候,2025-11-20,2021-07-01,价格指数,中国银河证券股份有限公司,2025-11-20,2026-08-05,正常更新,过拟合,19只发布前后比较,2021-07-01,2026-08-05,1236,5.095244940005613,0.10791070098532773,0.07535561225650131,-0.07989811945720104,1.2543230036676214,2021-07-01,2025-11-20,1065,4.388864932202577,0.11627700826838683,0.06671453494549272,-0.0543765939311559,1.5244694174243874,2025-11-20,2026-08-05,172,0.706380007803035,0.05731628244810283,0.11566749229979327,-0.07989811945720104,0.4307164679249231,0.058960725820284,1.0937529494994642,过拟合,发布后年化收益明显衰减，与过拟合担忧一致，但不是因果证明。 发布后不足1年，结论需继续观察。
7,GSAW.WI,银河星耀全天候,2026-05-15,2014-12-31,价格指数,中国银河证券股份有限公司,2026-05-15,2026-08-05,正常更新,严重过拟合,19只发布前后比较,2014-12-31,2026-08-05,2817,11.595036174596329,0.08943397898282646,0.04416237596635352,-0.04204058792819865,1.6979034989639212,2014-12-31,2026-05-15,2760,11.370527800023272,0.09084247531941081,0.04451795841409436,-0.04204058792819865,1.7166404207635892,2026-05-15,2026-08-05,58,0.2245083745730576,0.020427278503815538,0.020301836826108588,-0.01063289060936401,0.26526155568565024,0.07041519681559527,1.4513788650779391,过拟合,发布后年化收益明显衰减，与过拟合担忧一致，但不是因果证明。 发布后不足1年，结论需继续观察。
8,CALLW.WI,高华中国全天候,2025-07-01,2014-01-03,收益率指数,申万宏源证券有限公司,2025-07-01,2026-08-05,正常更新,基本一致,19只发布前后比较,2014-01-03,2026-08-05,3060,12.58615851112617,0.06763980537929482,0.04841411863939559,-0.10059711088215972,1.1185650202290425,2014-01-03,2025-07-01,2793,11.490995708330766,0.06710474232834929,0.04815365448610163,-0.10059711088215972,1.1139667746671285,2025-07-01,2026-08-05,268,1.095162802795403,0.07327015595496,0.051151976558010945,-0.03399003455520244,1.1635195053577356,-0.006165413626610716,-0.04955273069060717,基本一致,发布前后年化收益基本一致，未见明显收益衰减。
9,SWALLW.WI,申万睿衍全天候,2024-06-27,2010-01-04,,申万宏源证券有限公司,2024-06-27,2026-08-03,停更后前向填充(停更于2026-07-31),基本一致,19只发布前后比较,2010-01-04,2026-08-03,4026,16.578026927315413,0.07926476197823273,0.030836973076691126,-0.044619754021695046,2.1004784497959887,2010-01-04,2024-06-27,3517,14.478052252955228,0.0797623338084541,0.030593025660645885,-0.044619754021695046,2.131981246851745,2024-06-27,2026-08-03,510,2.0999746743601855,0.075840539984944,0.03250287527306323,-0.027289983909201232,1.896895501460448,0.0039217938235101,0.2350857453912969,基本一致,发布前后年化收益基本一致，未见明显收益衰减。 序列已停更，结果截至最后有效日。
10,801639.SI,华安ETF大类资产配置,2023-03-23,2018-12-28,价格指数,申银万国指数,2023-03-23,2026-08-05,正常更新,过拟合,19只发布前后比较,2019-01-02,2026-08-05,1841,7.589478223372143,0.07725746580427084,0.057549712397909104,-0.07474650875069744,1.1143660231943016,2019-01-02,2023-03-23,1025,4.219114697769291,0.0890364482308792,0.05471272677238911,-0.060287283481199716,1.3741162295873453,2023-03-23,2026-08-05,817,3.370363525602853,0.062691610491864,0.06094612238791207,-0.07474650875069744,0.8247370368043886,0.026344837739015192,0.5493791927829567,过拟合,发布后年化收益明显衰减，与过拟合担忧一致，但不是因果证明。
11,HAWS1.WI,华泰全天候资产配置策略1.0,2023-06-21,2014-03-03,价格指数,华泰证券股份有限公司,2023-06-21,2026-02-27,停更后前向填充(停更于2026-02-26),严重过拟合,19只发布前后比较,2014-03-03,2026-02-27,2916,11.989294783602675,0.06710548697342555,0.033236194120063386,-0.04787901727366117,1.5943525038298374,2014-03-03,2023-06-21,2268,9.30067010273996,0.08384756085792566,0.03356789107988171,-0.03159873465940133,2.053491288223537,2023-06-21,2026-02-27,649,2.6886246808627146,0.011159726202703002,0.03182531139277248,-0.04787901727366117,-0.08732857740890822,0.07268783465522266,2.1408198656324453,过拟合,发布后年化收益明显衰减，与过拟合担忧一致，但不是因果证明。 序列已停更，结果截至最后有效日。
