指数代码,指数简称,区间,start_date,end_date,observations,years,total_return,annual_return,annual_volatility,sharpe_daily,sharpe_monthly,sortino_daily,calmar,positive_day_rate,positive_month_rate,best_day,worst_day,max_drawdown,peak_date,trough_date,recovery_date,underwater_days,sharpe_daily_rf1.5,sharpe_monthly_rf1.5
CI011800.WI,国泰海通资产配置,全历史,2023-01-03,2026-08-11,873,3.603085621196876,0.6372815343099996,0.14664181579021718,0.10513613906036652,1.4080514789360712,1.2544825219328686,2.1355285981765473,0.9574320452713646,0.5538990825688074,0.627906976744186,0.05252172458410587,-0.04322512217523433,-0.15316159148261488,2023-04-17,2024-02-05,2024-10-08,540,1.2664345957363758,1.1133906069504205
CI011800.WI,国泰海通资产配置,发布前回溯期,2023-01-03,2023-11-10,207,0.8514890791734259,0.014257073748000115,0.016764431831694182,0.08565621149894513,0.24481408509192656,-0.588419131308635,0.3476646366947229,0.16881535606921544,0.5194174757281553,0.5,0.01649479147708144,-0.018620497454165386,-0.09930632036116815,2023-04-17,2023-10-23,,207,0.07099070363683838,-0.8843963404665479
CI011800.WI,国泰海通资产配置,发布后运行期,2023-11-10,2026-08-11,667,2.7515965420234503,0.6142668133037783,0.1901001439323302,0.11040818865173052,1.6967960566933231,1.5993906640287137,2.6063545420772845,1.8465651980304811,0.5645645645645646,0.6666666666666666,0.05252172458410587,-0.04322512217523433,-0.10294797288234836,2023-11-20,2024-02-05,2024-05-17,179,1.5619414548091768,1.4687961128918516
CICSF040.WI,中信期货大类资产配置,全历史,2015-01-05,2026-08-11,2820,11.597774081603317,2.4587166000000003,0.11292809079260135,0.04872471536012055,2.301481792608454,2.286658242976935,3.5700181058940514,2.93357708696864,0.5817665838949982,0.7913669064748201,0.015591292698672099,-0.019528519410801914,-0.038495013918074195,2018-01-23,2018-02-09,2018-06-29,157,1.9959068453699726,1.9680698720386547
CICSF040.WI,中信期货大类资产配置,发布后运行期,2015-01-05,2026-08-11,2820,11.597774081603317,2.4587166000000003,0.11292809079260135,0.04872471536012055,2.301481792608454,2.286658242976935,3.5700181058940514,2.93357708696864,0.5817665838949982,0.7913669064748201,0.015591292698672099,-0.019528519410801914,-0.038495013918074195,2018-01-23,2018-02-09,2018-06-29,157,1.9959068453699726,1.9680698720386547
CI011001.WI,国泰海通全天候,全历史,2009-01-08,2026-08-11,4273,17.588314612894173,3.3838961000000003,0.08766101438431106,0.04275893966636413,2.0606430541532683,2.0827765523705346,3.144845303121144,2.057320261282025,0.5702247191011236,0.7156398104265402,0.016659107944846596,-0.022020791233876014,-0.042609318555821174,2013-05-28,2013-06-20,2014-02-26,274,1.7124339441623777,1.7259721422837304
CI011001.WI,国泰海通全天候,发布前回溯期,2009-01-08,2019-08-01,2570,10.560107325954673,1.346397,0.08411547228423188,0.04310953553092705,1.9625361348470736,1.9681373875996722,3.0379729385726604,1.9741097754012367,0.5640326975476839,0.7007874015748031,0.016659107944846596,-0.022020791233876014,-0.042609318555821174,2013-05-28,2013-06-20,2014-02-26,274,1.6171588965630435,1.621898345054276
CI011001.WI,国泰海通全天候,发布后运行期,2019-08-01,2026-08-11,1704,7.028207286939499,0.8683522438871172,0.09301011761293787,0.042234977683064535,2.211463397383947,2.180717151049076,3.3038728981391374,3.063169182929929,0.5795654726952437,0.7261904761904762,0.013318416926344945,-0.01835101928211791,-0.03036401584713433,2019-09-05,2019-10-08,2019-12-27,113,1.8589344476326817,1.8085615069157426
GALLW.WI,银河全天候,全历史,2021-07-01,2026-08-11,1240,5.111672382047543,0.6979146,0.10912014934712921,0.07524896394514459,1.4689176970475142,1.6351828992951811,2.063371671197978,1.3657411474569374,0.5722356739305892,0.6885245901639344,0.01941475756297395,-0.03688967311373559,-0.07989811945720104,2026-01-29,2026-07-01,,194,1.2710538123535966,1.3900602840680185
GALLW.WI,银河全天候,发布前回溯期,2021-07-01,2025-11-20,1065,4.388864932202577,0.6205587000000001,0.11627700826838683,0.06671453494549272,1.7476449568708294,2.1388691660528303,2.517746813059537,2.1383650549278728,0.5780075187969925,0.6923076923076923,0.017840538543135498,-0.025499707815266226,-0.0543765939311559,2022-03-07,2022-07-15,2023-01-17,316,1.5244694174243874,1.8350007091550047
